Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Cambodia,ASIA (EX. NEAR EAST)         ,2005,Female,75.2,20.4,79.6,60.9,65.3,1.65,5.47,905.0,0.0,42.0,380.0,0.0,763.0,547.0
Cameroon,SUB-SAHARAN AFRICA                 ,2005,Female,36.9,20.8,79.2,76.6,53.8,2.89,6.55,627.0,0.0,41.9,460.0,0.0,1580.0,658.0
Canada,NORTHERN AMERICA                   ,2005,Female,3.55,70.4,29.6,15.4,82.5,4.66,13.4,1440.0,0.0,44.8,333.0,0.0,4260.0,525.0
Cape Verde,SUB-SAHARAN AFRICA                 ,2005,Female,118.0,73.5,26.5,24.6,73.3,5.64,6.89,530.0,0.0,52.5,395.0,0.0,65.9,62.0
Central African Republic,SUB-SAHARAN AFRICA                 ,2005,Female,6.63,41.4,58.6,42.6,45.7,1.61,3.81,425.0,0.0,57.6,444.0,0.0,368.0,257.0
Chad,SUB-SAHARAN AFRICA                 ,2005,Female,7.99,42.5,57.5,56.2,48.8,1.01,1.96,419.0,0.0,28.2,432.0,0.0,492.0,270.0
Chile,LATIN AMER. & CARIB    ,2005,Female,21.7,41.6,58.4,42.5,80.6,3.36,11.9,1030.0,0.0,48.4,417.0,0.0,1960.0,783.0
China,ASIA (EX. NEAR EAST)         ,2005,Female,141.0,38.3,61.7,57.7,75.6,1.79,9.64,985.0,0.0,37.1,417.0,0.0,180000.0,31400.0
Colombia,LATIN AMER. & CARIB    ,2005,Female,39.0,70.8,29.3,17.9,76.0,4.1,9.49,964.0,0.0,59.1,417.0,0.0,2820.0,19600.0
Comoros,SUB-SAHARAN AFRICA                 ,2005,Female,329.0,52.8,47.3,80.1,61.8,3.88,5.58,706.0,0.0,34.1,416.0,0.0,27.6,39.9
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA                 ,2005,Female,24.2,4.08,95.9,68.2,55.1,1.28,5.16,513.0,0.0,40.4,423.0,0.0,3020.0,2090.0
"Congo, Rep.",SUB-SAHARAN AFRICA                 ,2005,Female,10.9,57.7,42.3,52.0,55.8,2.52,7.13,598.0,0.0,56.4,409.0,0.0,236.0,171.0
Costa Rica,LATIN AMER. & CARIB    ,2005,Female,83.2,76.8,23.2,32.8,80.5,4.23,9.54,777.0,0.0,42.1,441.0,0.0,307.0,292.0
Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,2005,Female,57.7,26.3,73.7,60.4,48.5,4.06,3.67,859.0,0.0,40.3,428.0,0.0,1530.0,370.0
Croatia,EASTERN EUROPE                     ,2005,Female,78.2,86.1,13.9,13.4,78.9,3.73,9.49,1240.0,0.0,16.3,367.0,0.0,952.0,87.7
Cuba,LATIN AMER. & CARIB    ,2005,Female,106.0,90.1,9.9,14.8,79.9,9.19,11.8,1020.0,0.0,40.0,389.0,0.0,1670.0,626.0
Cyprus,NEAR EAST                          ,2005,Female,111.0,41.6,58.4,51.2,80.7,5.91,12.9,855.0,0.0,30.1,339.0,0.0,44.4,18.4
Czech Republic,EASTERN EUROPE                     ,2005,Female,133.0,90.3,9.68,11.1,79.4,3.67,11.6,1920.0,0.0,22.8,380.0,0.0,1730.0,182.0
Denmark,WESTERN EUROPE                     ,2005,Female,128.0,83.9,16.1,14.7,80.2,7.66,12.1,2070.0,0.0,37.2,363.0,0.0,832.0,66.2
Djibouti,SUB-SAHARAN AFRICA                 ,2005,Female,33.8,67.8,32.2,41.7,59.5,7.43,4.64,786.0,0.0,36.5,445.0,0.0,29.5,57.1
Dominica,LATIN AMER. & CARIB    ,2005,Female,94.2,69.0,31.0,40.5,0.0,5.0,12.2,664.0,0.0,40.0,139.0,0.0,2.59,5.15
Dominican Republic,LATIN AMER. & CARIB    ,2005,Female,191.0,34.5,65.5,53.9,74.9,1.82,9.54,668.0,0.0,39.9,445.0,0.0,525.0,1140.0
Ecuador,LATIN AMER. & CARIB    ,2005,Female,55.3,31.3,68.8,63.0,77.2,2.53,9.47,530.0,0.0,41.9,406.0,0.0,1120.0,2540.0
Egypt,NORTHERN AFRICA                    ,2005,Female,77.1,40.5,59.5,64.6,71.8,4.41,8.28,792.0,0.0,34.0,405.0,0.0,2400.0,457.0
El Salvador,LATIN AMER. & CARIB    ,2005,Female,291.0,45.2,54.8,43.0,74.9,2.76,8.14,976.0,0.0,41.2,462.0,0.0,561.0,3500.0
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,2005,Female,27.0,46.3,53.7,69.2,55.5,1.0,6.28,362.0,0.0,40.0,447.0,0.0,37.1,25.0
Eritrea,SUB-SAHARAN AFRICA                 ,2005,Female,39.3,47.6,52.4,35.2,60.8,1.99,4.52,533.0,0.0,40.0,441.0,0.0,259.0,331.0
Estonia,BALTICS                            ,2005,Female,32.0,67.8,32.2,20.5,78.0,4.58,9.87,953.0,0.0,47.8,362.0,0.0,377.0,140.0
Ethiopia,SUB-SAHARAN AFRICA                 ,2005,Female,76.7,53.6,46.4,31.3,57.6,3.27,4.66,524.0,0.0,47.7,448.0,0.0,5390.0,7390.0
Fiji,OCEANIA                            ,2005,Female,45.0,84.1,15.9,12.1,71.3,5.78,11.0,787.0,0.0,35.3,499.0,0.0,98.5,44.0
Finland,WESTERN EUROPE                     ,2005,Female,17.3,71.3,28.7,19.0,82.3,5.62,11.8,1280.0,0.0,47.1,370.0,0.0,1170.0,123.0
France,WESTERN EUROPE                     ,2005,Female,112.0,79.4,20.6,7.37,83.7,4.92,11.9,1850.0,0.0,73.3,282.0,0.0,13000.0,705.0
Gabon,SUB-SAHARAN AFRICA                 ,2005,Female,5.45,42.0,58.0,52.1,60.4,3.06,8.67,391.0,0.0,46.3,436.0,0.0,110.0,67.8
Gambia,SUB-SAHARAN AFRICA                 ,2005,Female,143.0,33.8,66.2,20.8,59.1,1.8,4.05,820.0,0.0,39.6,460.0,0.0,48.7,19.4
Georgia,C.W. OF IND. STATES ,2005,Female,64.6,17.0,83.0,79.6,76.4,2.64,11.9,544.0,0.0,26.9,385.0,0.0,272.0,185.0
Germany,WESTERN EUROPE                     ,2005,Female,234.0,79.5,20.5,14.0,82.0,4.11,12.0,1810.0,0.0,50.8,340.0,0.0,12500.0,822.0
Ghana,SUB-SAHARAN AFRICA                 ,2005,Female,94.7,48.7,51.3,40.4,59.5,6.4,6.74,703.0,0.0,47.0,471.0,0.0,1100.0,899.0
Greece,WESTERN EUROPE                     ,2005,Female,87.7,60.0,40.0,39.4,82.4,3.1,12.2,1400.0,0.0,51.6,361.0,0.0,446.0,118.0
Grenada,LATIN AMER. & CARIB    ,2005,Female,303.0,52.0,48.0,47.4,73.8,3.75,11.0,961.0,0.0,40.0,423.0,0.0,7.13,6.64
Guatemala,LATIN AMER. & CARIB    ,2005,Female,122.0,39.7,60.3,62.8,72.9,2.65,6.09,859.0,0.0,37.4,503.0,0.0,1290.0,5220.0
Guinea,SUB-SAHARAN AFRICA                 ,2005,Female,39.4,18.7,81.3,57.1,53.6,1.83,2.45,451.0,0.0,34.4,448.0,0.0,468.0,260.0
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,2005,Female,49.1,16.2,83.8,41.2,54.3,1.79,2.45,779.0,0.0,49.5,417.0,0.0,103.0,94.0
Guyana,LATIN AMER. & CARIB    ,2005,Female,3.81,82.4,17.6,24.8,68.2,7.77,9.95,1220.0,0.0,39.5,429.0,0.0,206.0,147.0
Haiti,LATIN AMER. & CARIB    ,2005,Female,336.0,27.7,72.3,46.0,61.1,1.46,6.23,635.0,0.0,47.5,486.0,0.0,777.0,680.0
Honduras,LATIN AMER. & CARIB    ,2005,Female,65.9,66.8,33.2,47.9,74.0,4.85,7.62,676.0,0.0,58.5,393.0,0.0,235.0,2040.0
Hungary,EASTERN EUROPE                     ,2005,Female,111.0,70.7,29.3,25.8,77.3,5.27,11.8,1250.0,0.0,36.2,368.0,0.0,2800.0,257.0
Iceland,WESTERN EUROPE                     ,2005,Female,2.94,81.5,18.5,17.2,82.9,7.01,10.4,928.0,0.0,25.8,412.0,0.0,36.4,2.51
India,ASIA (EX. NEAR EAST)         ,2005,Female,385.0,26.0,74.0,73.1,65.4,3.13,5.8,1050.0,0.0,32.1,509.0,0.0,218000.0,48800.0
Indonesia,ASIA (EX. NEAR EAST)         ,2005,Female,125.0,36.1,63.9,54.2,69.2,2.48,8.72,996.0,0.0,40.8,444.0,0.0,8140.0,4600.0
Iran,ASIA (EX. NEAR EAST)         ,2005,Female,43.2,41.6,58.4,56.1,73.5,4.51,10.1,979.0,0.0,59.2,506.0,0.0,5250.0,2100.0
Iraq,NEAR EAST                          ,2005,Female,62.2,1.14,98.9,30.2,71.0,4.6,6.18,971.0,0.0,41.9,428.0,0.0,2090.0,2280.0
Ireland,WESTERN EUROPE                     ,2005,Female,61.2,75.1,24.9,13.6,81.2,4.83,13.2,1450.0,0.0,38.6,348.0,0.0,498.0,37.1
Israel,NEAR EAST                          ,2005,Female,305.0,64.0,36.0,30.2,82.2,5.61,13.9,881.0,0.0,34.7,448.0,0.0,583.0,208.0
Italy,WESTERN EUROPE                     ,2005,Female,200.0,72.5,27.5,21.6,83.6,3.98,12.6,2440.0,0.0,56.1,455.0,0.0,4650.0,617.0
Jamaica,LATIN AMER. & CARIB    ,2005,Female,253.0,52.6,47.4,29.9,76.2,4.75,11.8,1170.0,0.0,41.3,390.0,0.0,65.5,598.0
Japan,ASIA (EX. NEAR EAST)         ,2005,Female,352.0,80.8,19.2,15.7,85.6,3.0,14.2,1070.0,0.0,46.8,363.0,0.0,32400.0,1020.0
