Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Mexico,LATIN AMER. & CARIB    ,2010,Male,60.4,45.0,55.0,43.4,73.7,5.01,10.1,1380.0,75.8,35.9,487.0,269.0,6670.0,20700.0
"Micronesia, Fed. Sts.",OCEANIA                            ,2010,Male,148.0,93.4,6.61,3.27,67.7,23.6,12.9,524.0,0.0,42.4,395.0,222.0,18.4,6.52
Moldova,C.W. OF IND. STATES ,2010,Male,124.0,45.6,54.4,40.4,65.6,7.72,11.5,623.0,41.3,43.4,382.0,319.0,829.0,338.0
Monaco,WESTERN EUROPE                     ,2010,Male,24900.0,88.2,11.8,5.38,0.0,1.3,0.0,2000.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST)         ,2010,Male,1.75,78.9,21.1,31.3,63.5,4.36,9.13,594.0,60.5,32.0,420.0,263.0,593.0,293.0
Morocco,NORTHERN AFRICA                    ,2010,Male,72.6,28.4,71.6,55.6,72.6,5.2,6.62,716.0,68.9,55.6,403.0,281.0,1810.0,374.0
Mozambique,SUB-SAHARAN AFRICA                 ,2010,Male,30.8,74.5,25.5,8.36,52.7,4.68,4.29,395.0,63.1,52.1,440.0,465.0,1530.0,1720.0
Namibia,SUB-SAHARAN AFRICA                 ,2010,Male,2.64,48.9,51.1,9.53,56.1,8.34,8.08,542.0,51.1,51.4,412.0,339.0,230.0,392.0
Nauru,OCEANIA                            ,2010,Male,501.0,75.7,24.3,2.33,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST)         ,2010,Male,189.0,31.4,68.6,56.2,66.5,3.14,7.3,656.0,84.9,25.8,407.0,425.0,2960.0,605.0
Netherlands,WESTERN EUROPE                     ,2010,Male,495.0,60.5,31.4,9.82,78.7,4.88,12.8,3640.0,68.2,51.7,324.0,137.0,1890.0,163.0
New Zealand,OCEANIA                            ,2010,Male,16.6,79.7,20.3,12.0,78.9,6.97,13.7,660.0,69.4,38.2,391.0,167.0,524.0,59.4
Nicaragua,LATIN AMER. & CARIB    ,2010,Male,47.7,56.5,43.5,44.5,70.6,4.1,7.4,976.0,76.9,39.4,509.0,297.0,409.0,581.0
Niger,SUB-SAHARAN AFRICA                 ,2010,Male,13.0,50.0,50.0,57.7,56.1,3.4,3.2,447.0,89.9,34.9,433.0,427.0,578.0,370.0
Nigeria,SUB-SAHARAN AFRICA                 ,2010,Male,174.0,29.2,70.8,77.7,50.1,0.85,8.63,881.0,58.2,53.3,438.0,421.0,5700.0,1130.0
North Korea,ASIA (EX. NEAR EAST)         ,2010,Male,204.0,0.0,0.0,0.0,66.0,0.0,12.7,567.0,82.6,37.0,500.0,233.0,3110.0,728.0
Norway,WESTERN EUROPE                     ,2010,Male,13.4,83.5,16.4,15.0,79.0,6.1,13.5,1320.0,66.8,35.0,319.0,147.0,593.0,43.1
Oman,NEAR EAST                          ,2010,Male,9.83,82.3,17.6,10.4,73.9,4.63,9.57,918.0,78.6,40.0,414.0,277.0,81.9,16.3
Pakistan,ASIA (EX. NEAR EAST)         ,2010,Male,221.0,25.6,74.4,70.4,64.3,1.51,7.09,1020.0,79.5,24.5,502.0,243.0,6700.0,9030.0
Palau,OCEANIA                            ,2010,Male,44.5,79.4,20.6,16.8,0.0,0.0,0.0,841.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB    ,2010,Male,49.0,69.6,30.4,28.4,73.9,2.83,10.5,850.0,78.2,40.1,406.0,183.0,221.0,606.0
Papua New Guinea,OCEANIA                            ,2010,Male,15.7,79.7,20.3,12.3,62.3,6.9,7.68,548.0,71.0,28.4,424.0,403.0,967.0,533.0
Paraguay,LATIN AMER. & CARIB    ,2010,Male,15.6,38.0,62.0,45.9,70.2,3.79,8.49,837.0,80.7,40.8,374.0,204.0,359.0,838.0
Peru,LATIN AMER. & CARIB    ,2010,Male,22.9,59.4,40.6,39.6,71.0,2.44,10.8,1210.0,83.5,52.7,372.0,245.0,970.0,1060.0
Philippines,ASIA (EX. NEAR EAST)         ,2010,Male,314.0,39.2,60.8,54.8,65.1,1.84,9.79,964.0,73.5,28.5,432.0,291.0,5020.0,13100.0
Poland,EASTERN EUROPE                     ,2010,Male,125.0,69.3,30.6,23.7,72.1,4.99,12.3,1300.0,58.3,29.5,369.0,253.0,7520.0,856.0
Portugal,WESTERN EUROPE                     ,2010,Male,116.0,67.1,32.9,24.6,76.7,5.45,9.64,1690.0,60.4,57.4,373.0,194.0,1430.0,173.0
Qatar,NEAR EAST                          ,2010,Male,153.0,81.3,18.7,18.7,76.4,2.06,8.17,1180.0,95.7,40.0,433.0,110.0,110.0,20.7
Romania,EASTERN EUROPE                     ,2010,Male,88.8,80.8,19.1,19.6,70.5,3.18,11.8,817.0,59.4,40.5,372.0,212.0,2710.0,556.0
Russia,C.W. OF IND. STATES ,2010,Male,8.74,62.0,38.0,35.3,62.9,3.55,12.3,1460.0,65.2,52.6,419.0,362.0,55200.0,28000.0
Rwanda,SUB-SAHARAN AFRICA                 ,2010,Male,415.0,56.4,43.6,10.9,61.3,4.18,5.27,442.0,85.5,42.5,420.0,396.0,615.0,431.0
Samoa,OCEANIA                            ,2010,Male,65.8,81.3,18.7,12.6,70.2,4.24,12.3,1400.0,38.6,42.1,410.0,371.0,21.0,7.85
San Marino,WESTERN EUROPE                     ,2010,Male,519.0,85.7,14.3,17.7,0.0,3.55,0.0,1450.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA                 ,2010,Male,182.0,52.9,47.1,21.0,63.9,7.66,6.8,881.0,68.0,32.1,412.0,275.0,3.0,8.52
Saudi Arabia,NEAR EAST                          ,2010,Male,12.8,72.8,27.2,18.9,72.3,7.19,11.2,857.0,71.8,40.0,416.0,235.0,898.0,116.0
Senegal,SUB-SAHARAN AFRICA                 ,2010,Male,67.1,55.3,44.7,50.2,62.5,5.19,4.73,499.0,64.1,53.7,512.0,362.0,848.0,171.0
Serbia,EASTERN EUROPE                     ,2010,Male,103.0,66.0,34.0,36.4,71.2,4.58,10.6,1360.0,48.4,33.7,374.0,195.0,1780.0,269.0
Seychelles,SUB-SAHARAN AFRICA                 ,2010,Male,199.0,93.2,6.8,4.1,68.3,3.63,10.2,853.0,0.0,41.3,374.0,253.0,7.94,6.56
Sierra Leone,SUB-SAHARAN AFRICA                 ,2010,Male,89.5,12.6,87.4,64.0,47.6,2.5,5.36,736.0,58.6,41.2,514.0,451.0,285.0,90.9
Singapore,ASIA (EX. NEAR EAST)         ,2010,Male,7250.0,30.4,69.6,41.1,79.5,2.94,12.5,1020.0,74.8,47.0,442.0,182.0,393.0,20.7
Slovenia,EASTERN EUROPE                     ,2010,Male,102.0,72.2,27.9,12.6,76.2,5.26,11.2,1410.0,60.6,21.9,361.0,257.0,476.0,25.4
Solomon Islands,OCEANIA                            ,2010,Male,18.9,94.1,5.91,4.57,67.3,9.94,8.68,364.0,79.7,46.1,505.0,298.0,84.1,32.5
Somalia,SUB-SAHARAN AFRICA                 ,2010,Male,19.2,44.6,55.4,0.0,52.4,0.991,3.6,706.0,70.6,50.9,452.0,431.0,435.0,708.0
South Africa,SUB-SAHARAN AFRICA                 ,2010,Male,42.5,38.3,61.7,8.51,53.0,5.55,10.1,1480.0,46.6,35.2,398.0,401.0,7470.0,20100.0
South Korea,ASIA (EX. NEAR EAST)         ,2010,Male,510.0,52.9,47.1,34.6,77.0,4.04,13.4,564.0,69.3,32.0,503.0,307.0,16000.0,917.0
South Sudan,SUB-SAHARAN AFRICA                 ,2010,Male,16.5,0.0,0.0,0.0,52.7,1.15,2.68,509.0,67.4,45.0,490.0,493.0,333.0,570.0
Spain,WESTERN EUROPE                     ,2010,Male,93.8,70.6,29.4,20.7,78.9,4.41,11.9,1520.0,54.1,32.2,451.0,145.0,3780.0,381.0
Sri Lanka,ASIA (EX. NEAR EAST)         ,2010,Male,322.0,48.1,51.9,53.3,70.9,1.7,10.7,900.0,73.6,37.2,410.0,224.0,4860.0,1010.0
Suriname,LATIN AMER. & CARIB    ,2010,Male,3.37,51.2,48.8,21.4,67.2,3.44,8.69,1640.0,62.4,45.6,406.0,253.0,129.0,49.3
Swaziland,SUB-SAHARAN AFRICA                 ,2010,Male,69.9,61.4,38.6,0.0,48.9,0.0,8.49,491.0,48.2,60.5,414.0,0.0,180.0,233.0
Sweden,WESTERN EUROPE                     ,2010,Male,22.9,81.2,18.8,16.9,79.5,6.11,13.6,1450.0,61.6,39.3,261.0,142.0,1380.0,110.0
Switzerland,WESTERN EUROPE                     ,2010,Male,198.0,59.5,40.5,29.1,79.9,4.3,10.8,2710.0,71.0,38.8,345.0,145.0,1320.0,66.2
Syria,NEAR EAST                          ,2010,Male,114.0,50.5,49.5,54.0,68.1,2.6,9.14,1080.0,68.3,46.6,429.0,207.0,413.0,472.0
Tajikistan,C.W. OF IND. STATES ,2010,Male,54.6,23.6,76.3,70.4,67.0,3.58,11.2,560.0,63.0,36.4,365.0,181.0,348.0,194.0
Tanzania,SUB-SAHARAN AFRICA                 ,2010,Male,52.0,47.0,53.0,31.9,59.2,3.73,7.04,564.0,82.6,27.9,415.0,382.0,2490.0,3660.0
Thailand,ASIA (EX. NEAR EAST)         ,2010,Male,132.0,64.4,35.6,14.5,70.4,3.54,10.2,934.0,80.3,46.0,438.0,284.0,8380.0,4740.0
Togo,SUB-SAHARAN AFRICA                 ,2010,Male,120.0,29.5,70.5,62.6,56.8,4.54,7.04,684.0,78.6,43.6,427.0,334.0,540.0,221.0
Tonga,OCEANIA                            ,2010,Male,145.0,87.1,12.9,11.5,69.3,2.93,10.3,664.0,74.4,37.7,381.0,220.0,6.98,2.98
Trinidad and Tobago,LATIN AMER. & CARIB    ,2010,Male,259.0,52.9,47.1,46.6,66.4,2.87,12.5,1230.0,71.5,45.5,406.0,253.0,176.0,339.0
Tunisia,NORTHERN AFRICA                    ,2010,Male,68.5,51.5,48.5,42.1,72.7,5.86,10.7,717.0,62.1,74.4,460.0,244.0,417.0,110.0
Turkey,NEAR EAST                          ,2010,Male,94.0,67.8,32.2,16.9,70.8,3.49,9.84,1220.0,62.4,54.0,380.0,259.0,2220.0,1560.0
Turkmenistan,C.W. OF IND. STATES ,2010,Male,10.8,63.3,36.7,71.0,63.2,2.32,12.4,964.0,73.2,35.0,493.0,297.0,484.0,269.0
Tuvalu,OCEANIA                            ,2010,Male,351.0,99.9,0.11,0.645,0.0,0.0,0.0,721.0,0.0,39.1,83.4,0.0,0.0,0.0
Uganda,SUB-SAHARAN AFRICA                 ,2010,Male,170.0,25.3,74.7,33.1,55.3,2.1,7.11,465.0,73.5,43.6,511.0,393.0,3070.0,2150.0
Ukraine,C.W. OF IND. STATES ,2010,Male,79.0,59.5,40.5,40.8,64.1,6.05,12.4,780.0,57.1,39.7,361.0,297.0,11800.0,4120.0
United Arab Emirates,NEAR EAST                          ,2010,Male,98.9,59.0,41.0,17.9,75.7,0.0,11.2,1070.0,90.8,40.0,434.0,190.0,399.0,122.0
United Kingdom,WESTERN EUROPE                     ,2010,Male,262.0,81.9,18.1,9.82,78.3,5.5,13.4,3190.0,62.7,58.4,315.0,162.0,5600.0,439.0
United States,NORTHERN AMERICA                   ,2010,Male,33.7,44.1,55.9,12.2,76.1,4.84,12.8,2250.0,62.6,51.7,329.0,195.0,42300.0,17500.0
Uruguay,LATIN AMER. & CARIB    ,2010,Male,19.3,50.7,49.3,20.5,72.9,4.0,9.82,1760.0,72.7,54.7,406.0,206.0,629.0,168.0
Uzbekistan,C.W. OF IND. STATES ,2010,Male,67.2,43.3,56.7,46.5,67.2,9.37,11.4,504.0,69.4,33.9,381.0,245.0,3110.0,1000.0
Vanuatu,OCEANIA                            ,2010,Male,19.4,72.9,27.1,8.85,68.8,4.98,8.6,587.0,75.7,37.6,381.0,307.0,36.5,3.31
Venezuela,LATIN AMER. & CARIB    ,2010,Male,32.9,43.3,56.7,42.9,69.6,6.54,9.81,684.0,73.1,62.8,415.0,234.0,2610.0,11500.0
Vietnam,ASIA (EX. NEAR EAST)         ,2010,Male,285.0,26.4,73.6,37.4,70.2,5.36,9.2,863.0,79.5,34.2,417.0,239.0,7430.0,1850.0
Yemen,NEAR EAST                          ,2010,Male,44.7,33.9,66.1,74.0,62.2,3.6,7.37,925.0,60.2,50.2,540.0,364.0,1110.0,745.0
Zambia,SUB-SAHARAN AFRICA                 ,2010,Male,18.6,54.9,45.1,24.5,54.6,1.06,7.64,694.0,71.8,54.5,410.0,398.0,1170.0,1330.0
Zimbabwe,SUB-SAHARAN AFRICA                 ,2010,Male,36.4,38.4,61.6,36.5,51.7,1.91,9.86,889.0,84.2,27.5,396.0,292.0,2000.0,1410.0
Afghanistan,ASIA (EX. NEAR EAST)         ,2010,Female,44.1,11.6,88.5,79.0,62.5,2.82,1.82,604.0,0.0,30.5,471.0,0.0,1760.0,4940.0
Albania,EASTERN EUROPE                     ,2010,Female,107.0,40.2,59.8,48.0,79.2,3.11,10.9,669.0,0.0,38.9,375.0,0.0,195.0,68.4
Algeria,NORTHERN AFRICA                    ,2010,Female,15.2,72.1,27.9,28.9,75.9,4.47,9.45,734.0,0.0,56.4,460.0,0.0,1290.0,447.0
Andorra,WESTERN EUROPE                     ,2010,Female,180.0,69.1,30.9,45.4,0.0,3.01,15.5,1240.0,0.0,40.0,12.9,0.0,7.76,0.54
Angola,SUB-SAHARAN AFRICA                 ,2010,Female,18.7,74.5,25.5,19.3,60.9,3.57,5.3,671.0,0.0,56.9,486.0,0.0,1100.0,978.0
Antigua and Barbuda,LATIN AMER. & CARIB    ,2010,Female,215.0,63.1,36.9,24.3,77.8,2.25,14.3,759.0,0.0,40.0,403.0,0.0,2.07,4.93
Argentina,LATIN AMER. & CARIB    ,2010,Female,15.1,54.2,45.8,19.7,79.4,4.52,12.1,1510.0,0.0,47.3,402.0,0.0,4650.0,2390.0
Armenia,C.W. OF IND. STATES ,2010,Female,101.0,30.4,69.6,62.1,76.4,2.85,11.5,515.0,0.0,31.5,362.0,0.0,232.0,128.0
Australia,OCEANIA                            ,2010,Female,2.88,66.9,33.1,19.7,84.1,5.08,14.4,851.0,0.0,38.7,391.0,0.0,2630.0,308.0
Austria,WESTERN EUROPE                     ,2010,Female,102.0,76.1,23.9,18.6,83.2,5.4,11.6,1990.0,0.0,33.0,299.0,0.0,1470.0,73.6
Azerbaijan,C.W. OF IND. STATES ,2010,Female,109.0,11.3,88.7,75.1,74.1,2.9,11.8,778.0,0.0,70.5,369.0,0.0,400.0,351.0
Bahamas,LATIN AMER. & CARIB    ,2010,Female,36.0,44.3,55.7,28.4,77.7,3.84,13.0,1450.0,0.0,40.0,396.0,0.0,11.3,81.5
Bahrain,NEAR EAST                          ,2010,Female,1630.0,69.0,31.0,28.5,77.1,2.73,10.4,1340.0,0.0,40.0,440.0,0.0,89.3,23.3
Bangladesh,ASIA (EX. NEAR EAST)         ,2010,Female,1170.0,34.9,65.1,67.2,71.5,1.78,6.25,875.0,0.0,28.0,508.0,0.0,12200.0,4390.0
Barbados,LATIN AMER. & CARIB    ,2010,Female,650.0,64.4,35.6,38.1,77.3,5.78,11.8,916.0,0.0,40.0,504.0,0.0,15.1,28.8
Belarus,C.W. OF IND. STATES ,2010,Female,46.7,72.9,27.1,29.2,76.5,4.95,12.3,614.0,0.0,55.5,366.0,0.0,3450.0,909.0
Belgium,WESTERN EUROPE                     ,2010,Female,361.0,75.9,24.1,17.6,82.7,6.1,13.3,2420.0,0.0,41.5,320.0,0.0,2310.0,163.0
Belize,LATIN AMER. & CARIB    ,2010,Female,14.1,59.7,40.3,24.0,72.5,6.47,9.62,580.0,0.0,60.3,405.0,0.0,20.8,67.2
Benin,SUB-SAHARAN AFRICA                 ,2010,Female,81.6,49.7,50.3,45.1,60.7,4.79,3.76,598.0,0.0,40.7,430.0,0.0,698.0,271.0
Bhutan,ASIA (EX. NEAR EAST)         ,2010,Female,19.1,76.0,24.0,16.5,67.9,3.05,3.71,631.0,0.0,40.9,456.0,0.0,44.8,10.5
Bolivia,LATIN AMER. & CARIB    ,2010,Female,9.16,66.2,33.8,31.9,68.8,7.21,9.82,856.0,0.0,39.2,405.0,0.0,641.0,636.0
Bosnia and Herzegovina,EASTERN EUROPE                     ,2010,Female,73.0,55.0,45.0,30.1,78.4,0.0,10.3,670.0,0.0,30.0,379.0,0.0,300.0,123.0
Botswana,SUB-SAHARAN AFRICA                 ,2010,Female,3.56,74.3,25.7,5.15,62.5,9.48,9.61,398.0,0.0,47.0,397.0,0.0,320.0,297.0
Brazil,LATIN AMER. & CARIB    ,2010,Female,23.5,40.1,59.9,43.8,77.6,5.39,8.78,1110.0,0.0,37.7,417.0,0.0,12700.0,57500.0
Brunei,ASIA (EX. NEAR EAST)         ,2010,Female,73.7,84.2,15.8,8.26,78.4,2.03,15.0,1520.0,0.0,40.0,455.0,0.0,16.9,4.89
Bulgaria,EASTERN EUROPE                     ,2010,Female,68.2,60.9,39.1,43.1,77.3,3.98,11.1,1090.0,0.0,38.9,360.0,0.0,1120.0,222.0
Burkina Faso,SUB-SAHARAN AFRICA                 ,2010,Female,57.0,59.5,40.5,30.2,57.6,3.23,2.35,481.0,0.0,38.1,455.0,0.0,906.0,144.0
Burundi,SUB-SAHARAN AFRICA                 ,2010,Female,341.0,34.8,65.2,28.2,56.7,6.36,4.31,425.0,0.0,35.1,424.0,0.0,713.0,93.1
Cambodia,ASIA (EX. NEAR EAST)         ,2010,Female,81.1,20.5,79.5,51.9,68.6,1.61,6.2,906.0,0.0,42.0,380.0,0.0,825.0,595.0
Cameroon,SUB-SAHARAN AFRICA                 ,2010,Female,42.2,23.6,76.4,71.7,56.6,2.96,7.23,628.0,0.0,41.7,460.0,0.0,1820.0,741.0
Canada,NORTHERN AMERICA                   ,2010,Female,3.76,70.2,29.8,15.4,83.4,5.0,14.0,1480.0,0.0,44.3,333.0,0.0,4340.0,555.0
Cape Verde,SUB-SAHARAN AFRICA                 ,2010,Female,125.0,77.3,22.7,28.1,73.6,4.91,7.66,531.0,0.0,52.5,395.0,0.0,77.6,75.8
Central African Republic,SUB-SAHARAN AFRICA                 ,2010,Female,7.14,35.3,64.7,46.4,49.1,1.15,4.35,425.0,0.0,57.6,444.0,0.0,406.0,297.0
Chad,SUB-SAHARAN AFRICA                 ,2010,Female,9.44,41.1,58.9,67.6,51.2,1.48,2.29,419.0,0.0,28.2,432.0,0.0,581.0,346.0
Chile,LATIN AMER. & CARIB    ,2010,Female,22.9,40.0,60.0,34.5,81.0,4.23,12.7,1030.0,0.0,48.9,417.0,0.0,2120.0,789.0
China,ASIA (EX. NEAR EAST)         ,2010,Female,145.0,38.8,61.2,40.8,76.8,1.79,10.5,985.0,0.0,36.8,417.0,0.0,151000.0,23400.0
Colombia,LATIN AMER. & CARIB    ,2010,Female,41.4,70.0,29.9,20.9,77.0,3.9,10.3,965.0,0.0,59.1,417.0,0.0,2890.0,18000.0
Comoros,SUB-SAHARAN AFRICA                 ,2010,Female,371.0,61.0,39.0,78.7,63.5,4.1,6.37,710.0,0.0,34.1,416.0,0.0,31.7,47.8
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA                 ,2010,Female,28.5,30.0,70.0,37.0,58.3,1.52,5.84,524.0,0.0,40.4,423.0,0.0,3600.0,2530.0
"Congo, Rep.",SUB-SAHARAN AFRICA                 ,2010,Female,12.8,59.5,40.5,42.2,61.9,2.52,7.89,606.0,0.0,56.3,409.0,0.0,251.0,182.0
Costa Rica,LATIN AMER. & CARIB    ,2010,Female,89.0,70.3,29.7,25.4,81.2,6.42,10.3,777.0,0.0,42.1,441.0,0.0,325.0,367.0
Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,2010,Female,64.2,19.8,80.2,58.1,51.6,4.4,4.18,876.0,0.0,40.3,428.0,0.0,1680.0,420.0
Croatia,EASTERN EUROPE                     ,2010,Female,77.3,86.0,14.0,14.0,80.0,4.08,10.3,1340.0,0.0,16.3,367.0,0.0,868.0,73.9
Cuba,LATIN AMER. & CARIB    ,2010,Female,106.0,93.5,6.54,9.18,81.1,13.0,12.6,1080.0,0.0,40.0,380.0,0.0,1670.0,620.0
Cyprus,NEAR EAST                          ,2010,Female,120.0,41.8,58.2,41.0,81.6,6.22,13.6,856.0,0.0,30.1,339.0,0.0,46.7,17.6
Czech Republic,EASTERN EUROPE                     ,2010,Female,136.0,87.3,12.7,15.3,80.7,3.93,12.3,1920.0,0.0,23.1,380.0,0.0,1710.0,161.0
Denmark,WESTERN EUROPE                     ,2010,Female,131.0,84.5,15.5,14.4,81.5,7.94,12.8,2080.0,0.0,37.1,357.0,0.0,755.0,55.5
Djibouti,SUB-SAHARAN AFRICA                 ,2010,Female,36.7,68.4,31.6,29.0,61.9,7.43,5.29,799.0,0.0,36.5,445.0,0.0,34.5,66.9
Dominica,LATIN AMER. & CARIB    ,2010,Female,95.3,62.1,37.9,36.4,0.0,5.0,13.0,665.0,0.0,40.0,139.0,0.0,2.91,6.54
Dominican Republic,LATIN AMER. & CARIB    ,2010,Female,205.0,31.6,68.4,43.9,76.0,1.91,10.4,669.0,0.0,39.9,445.0,0.0,507.0,1360.0
Ecuador,LATIN AMER. & CARIB    ,2010,Female,60.1,22.3,77.7,47.5,77.9,3.88,10.3,530.0,0.0,41.9,406.0,0.0,1240.0,2470.0
Egypt,NORTHERN AFRICA                    ,2010,Female,84.5,40.6,59.4,62.6,72.6,4.41,9.12,793.0,0.0,34.1,405.0,0.0,2840.0,611.0
El Salvador,LATIN AMER. & CARIB    ,2010,Female,298.0,52.6,47.4,33.6,76.4,3.16,8.96,977.0,0.0,41.2,462.0,0.0,582.0,3680.0
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,2010,Female,33.9,58.8,41.2,68.8,57.3,1.0,7.03,365.0,0.0,40.0,447.0,0.0,42.8,28.3
Eritrea,SUB-SAHARAN AFRICA                 ,2010,Female,43.5,46.0,54.0,52.7,64.3,1.72,5.15,534.0,0.0,40.0,441.0,0.0,295.0,382.0
Estonia,BALTICS                            ,2010,Female,31.4,77.0,23.0,21.9,80.2,5.43,10.7,959.0,0.0,47.8,362.0,0.0,277.0,86.8
Ethiopia,SUB-SAHARAN AFRICA                 ,2010,Female,87.7,60.9,39.1,42.3,63.3,2.96,5.22,524.0,0.0,47.7,448.0,0.0,5940.0,8700.0
Fiji,OCEANIA                            ,2010,Female,47.1,81.4,18.6,22.4,72.4,4.64,11.7,787.0,0.0,35.3,499.0,0.0,97.0,42.3
Finland,WESTERN EUROPE                     ,2010,Female,17.7,75.4,24.6,20.0,83.3,6.07,12.6,1290.0,0.0,47.1,355.0,0.0,1090.0,107.0
France,WESTERN EUROPE                     ,2010,Female,115.0,78.8,21.2,10.1,84.7,5.1,12.6,1870.0,0.0,73.1,285.0,0.0,12900.0,659.0
Gabon,SUB-SAHARAN AFRICA                 ,2010,Female,6.37,42.3,57.7,25.5,63.8,3.06,9.3,391.0,0.0,46.3,436.0,0.0,115.0,75.8
Gambia,SUB-SAHARAN AFRICA                 ,2010,Female,167.0,55.0,45.0,21.0,61.0,2.46,4.62,822.0,0.0,39.6,460.0,0.0,55.8,21.5
Georgia,C.W. OF IND. STATES ,2010,Female,60.9,19.2,80.8,72.7,76.7,1.91,12.7,544.0,0.0,26.9,381.0,0.0,300.0,167.0
Germany,WESTERN EUROPE                     ,2010,Female,232.0,76.6,23.4,13.9,82.7,4.68,12.7,1870.0,0.0,50.5,340.0,0.0,12000.0,733.0
Ghana,SUB-SAHARAN AFRICA                 ,2010,Female,108.0,66.3,33.6,33.4,61.8,4.68,7.38,706.0,0.0,46.7,471.0,0.0,1230.0,974.0
Greece,WESTERN EUROPE                     ,2010,Female,88.8,60.1,39.9,28.1,83.1,3.1,13.0,1420.0,0.0,51.6,361.0,0.0,485.0,133.0
Grenada,LATIN AMER. & CARIB    ,2010,Female,308.0,47.8,52.3,52.5,75.0,3.75,11.8,961.0,0.0,40.0,408.0,0.0,7.46,7.62
Guatemala,LATIN AMER. & CARIB    ,2010,Female,137.0,33.8,66.2,59.6,74.7,2.88,6.82,860.0,0.0,37.4,503.0,0.0,1030.0,5840.0
Guinea,SUB-SAHARAN AFRICA                 ,2010,Female,43.9,11.3,88.7,65.0,57.5,3.67,2.87,451.0,0.0,34.4,448.0,0.0,562.0,324.0
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,2010,Female,55.3,15.9,84.1,44.7,56.6,1.38,2.85,779.0,0.0,49.5,417.0,0.0,118.0,111.0
Guyana,LATIN AMER. & CARIB    ,2010,Female,3.79,65.4,34.6,42.6,68.4,3.38,10.7,1220.0,0.0,39.5,429.0,0.0,232.0,149.0
Haiti,LATIN AMER. & CARIB    ,2010,Female,363.0,21.3,78.7,33.3,63.4,1.46,6.98,635.0,0.0,47.5,486.0,0.0,865.0,693.0
Honduras,LATIN AMER. & CARIB    ,2010,Female,73.2,64.8,35.2,46.8,74.9,5.77,8.43,676.0,0.0,58.5,393.0,0.0,260.0,2540.0
Hungary,EASTERN EUROPE                     ,2010,Female,110.0,72.3,27.7,27.4,78.4,4.55,12.5,1250.0,0.0,35.8,368.0,0.0,2570.0,220.0
Iceland,WESTERN EUROPE                     ,2010,Female,3.2,81.7,18.3,18.2,83.5,8.06,11.2,929.0,0.0,25.8,412.0,0.0,38.5,2.43
India,ASIA (EX. NEAR EAST)         ,2010,Female,414.0,23.9,76.1,65.2,67.8,3.08,6.54,1050.0,0.0,32.3,509.0,0.0,217000.0,47200.0
Indonesia,ASIA (EX. NEAR EAST)         ,2010,Female,134.0,38.1,61.9,57.0,70.3,2.55,9.55,997.0,0.0,40.5,444.0,0.0,8420.0,4540.0
Iran,ASIA (EX. NEAR EAST)         ,2010,Female,45.8,44.2,55.8,59.4,75.5,4.11,11.0,979.0,0.0,59.4,506.0,0.0,4930.0,1810.0
Iraq,NEAR EAST                          ,2010,Female,70.8,67.3,32.6,26.1,71.2,4.6,6.93,972.0,0.0,42.1,428.0,0.0,2340.0,2510.0
Ireland,WESTERN EUROPE                     ,2010,Female,67.2,77.0,23.0,13.8,82.5,6.65,13.9,1450.0,0.0,38.2,348.0,0.0,528.0,40.5
Israel,NEAR EAST                          ,2010,Female,343.0,60.5,39.5,23.7,83.3,5.35,14.5,882.0,0.0,34.7,448.0,0.0,602.0,177.0
Italy,WESTERN EUROPE                     ,2010,Female,203.0,76.2,23.8,20.5,84.4,4.12,13.3,2470.0,0.0,56.0,455.0,0.0,4620.0,548.0
Jamaica,LATIN AMER. & CARIB    ,2010,Female,260.0,48.8,51.2,24.7,77.4,6.23,12.6,1170.0,0.0,41.3,390.0,0.0,74.3,680.0
Japan,ASIA (EX. NEAR EAST)         ,2010,Female,353.0,81.6,18.4,14.6,86.2,3.08,14.8,1080.0,0.0,46.6,363.0,0.0,31700.0,893.0
Jordan,NEAR EAST                          ,2010,Female,80.9,52.8,47.3,21.9,75.1,3.83,12.0,979.0,0.0,36.9,421.0,0.0,169.0,230.0
Kazakhstan,C.W. OF IND. STATES ,2010,Female,6.07,61.9,38.1,27.7,72.9,3.07,12.3,1170.0,0.0,35.3,497.0,0.0,5210.0,2280.0
Kenya,SUB-SAHARAN AFRICA                 ,2010,Female,72.7,42.2,57.8,30.2,64.9,4.88,8.51,906.0,0.0,54.1,508.0,0.0,1770.0,3150.0
